10151475870412592_10052246	Unicorn! M gonna die.
10151328985102592_9136831	a minion
10151328985102592_9136870	a minion model
10151328985102592_9136876	a minion
10151328985102592_9136988	minion blimp
10151328985102592_9137014	minion blimp
10151328985102592_9137052	dirigible?
10151328985102592_9137061	A minion gnome
10151328985102592_9137128	minion blimp
10151328985102592_9137203	minion blimp
10151328985102592_9137218	minion blimp
10151328985102592_9137232	a minion
10151328985102592_9137260	minion blimp
10151328985102592_9137302	ICBM (Intercontinental Ballistic Minion)
10151328985102592_9137345	A minion submarine?
10151328985102592_9137349	a minion blimp
10151328985102592_9137387	it a video blimp
10151328985102592_9137420	a minion
10151328985102592_9137459	a minion
10151328985102592_9137485	a dick
10151328985102592_9137570	B.L.I.M.P.
10151328985102592_9137643	a minion
10151328985102592_9137785	a blimp
10151328985102592_9137815	A tall minion
10151328985102592_9137844	A zeppalin
10151328985102592_9137882	minion blimp
10151328985102592_9137883	a minion
10151328985102592_9137891	minion blimp
10151328985102592_9137935	A vibrator?
10151328985102592_9137941	a minion
10151328985102592_9137946	a minion pencil
10151328985102592_9137969	a dirigible
10151328985102592_9138020	a minion
10151328985102592_9138031	a minion
10151328985102592_9138078	a minion
10151328985102592_9138083	person
10151328985102592_9138169	a nome minion
10151328985102592_9138170	a minon
10151328985102592_9138208	rocet
10151328985102592_9138213	rocet
10151328985102592_9138248	A dirigible?
10151328985102592_9138338	a blimp
10151328985102592_9138372	A dirigible!
10151328985102592_9138480	a blimp
10151328985102592_9138513	a minion
10151328985102592_9138539	a minion
10151328985102592_9138688	a minion
10151328985102592_9138857	Blimpppp
10151328985102592_9138904	a minion blimp
10151328985102592_9139109	toco?
10151328985102592_9139349	person
10151328985102592_9139360	minion zepplin
10151328985102592_9139403	minion blimp
10151328985102592_9139452	A little pencil.
10151328985102592_9139519	a minion gnome :)
10151328985102592_9139560	a minion gnome
10151328985102592_9139637	a minion pretending to be a missile lol
10151328985102592_9139671	a minion!!
10151328985102592_9139933	A minion launch
10151328985102592_9140322	GRU car
10151328985102592_9140627	a minion blimp
10151328985102592_9141610	Monion
10151328985102592_9141989	a minion blimp
10151328985102592_9142047	minion girl
10151328985102592_9142332	Minion pimp
10151328985102592_9142909	Minionmobile
10151328985102592_9143573	I have no idea...lol!
10151328985102592_9143834	minion blimp
10151328985102592_9144427	a minion
10151328985102592_9144788	Cannonball Minion!
10151328985102592_9145289	a blimp
10151328985102592_9146004	a cute little fat minoin
10151328985102592_9146540	Dispicablimp
10151328985102592_9146766	Dispicablimp
10151328985102592_9147171	a minion blimp
10151328985102592_9147631	a minion blimp
10151328985102592_9147660	a minion blimp
10151328985102592_9147745	a minion ..:)
10151328985102592_9147901	a minion
10151328985102592_9148016	disicablimp
10151328985102592_9148712	a minion levitating
10151328985102592_9150104	dispicablimp
10151328985102592_9152866	a minion blimp
10151328985102592_9154532	a minon
10151328985102592_9154602	a minon
10151328985102592_9154998	minion rocet
10151328985102592_9162700	small blimp
10151328985102592_9165625	dave lol
10151328985102592_9192536	minion blimp
10151328985102592_9193985	a minion blimp
10151328985102592_9199773	Dispicablimp
10151328985102592_9202780	pincel
10151328985102592_9203029	minion blimp
10151328985102592_9216976	dispicable me blimp
10151328985102592_9217009	dispicablimp
10151328985102592_9219040	Dispicablimp
10151328985102592_9242967	minion rocit
10151328985102592_9251114	a blimp
10151328985102592_9264238	dispickablimp
10151328985102592_9388793	dispicableblimp
10151328985102592_9856549	dispicablimp
10151328985102592_9893159	dispickablimp
10151328985102592_9909181	dispicabalblimp
10151328985102592_9953566	Dispicablimp
10151328985102592_9964072	minion blimp
10151328985102592_10014602	mimion blimp
10151328985102592_10014604	i mean minion blimp
10151328985102592_10044656	Despicabilmp
611106885569534_7359456	Ditto!
611106885569534_7359493	Bottom, lol!!
611106885569534_7359679	Nicola Leoni
611106885569534_7359960	Mirna Noemi Martinez
611106885569534_7360007	Lol
611106885569534_7360034	I love minions!!!
611106885569534_7360387	Gotta see it!
611106885569534_7361232	bottom
611106885569534_7364118	bottom
611106885569534_7366105	Crazy
611106885569534_7374861	Bottom LOL XD !!
10151326031392592_9117163	michiii tenemos q verla Narly Osorio Avila
10151326031392592_9117175	i love minion too!!! <3 <3 <3
10151326031392592_9117193	minion minion!!!!!!!!!!!! I can't waittttttttttttttt ♥♥♥♥♥♥
10151326031392592_9117237	so cute !!
10151326031392592_9117351	"Bottom. LOL"
10151326031392592_9117383	Rodrigo Lopez Peralta popeteee
10151326031392592_9117411	so cute
10151326031392592_9117454	i love minions!
10151326031392592_9117507	Lydia Corcoran
10151326031392592_9117590	Lilian Lee
10151326031392592_9118086	so cute!!!! :)
10151326031392592_9118108	bottom
10151326031392592_9118798	Catalina Saenz
10151326031392592_9119236	My favorite movie!
10151326031392592_9120686	Bottom
10151326031392592_9121189	I love minions!
10151326031392592_9121455	Potato-na!
10151326031392592_9127129	"Bottom". XD
10151326031392592_9153648	Bottom XD
10151326031392592_9476413	bottom
10151326031392592_9615258	Katia Huesca traseronnnn
10151326031392592_9679678	Natalia Riveros Anzola MIRANOS
10151325099522592_9112281	Lol
10151325099522592_9112662	Lori Gomez Beltran
10151325099522592_9112693	Yezzzzz a second movvvvviiiiiiiieeeee
10151325099522592_9113067	i love minions :)
10151325099522592_9113128	Quinna :)
10151325099522592_9113223	Lol
10151325099522592_9113299	Ruby Cordova gotta go see!
10151325099522592_9114385	Si Adriana Leyva Garcia
10151325099522592_9114403	omg, Cammie Viray, gotta see!
10151325099522592_9114408	Valeria Diaz :D
10151325099522592_9114696	Itz soo fluffy .... m gonna die ..... :p
10151325099522592_9116068	Sonia Castillo
10151325099522592_9121173	soo cute..!!!
10151325099522592_9122070	Lol
10151325099522592_9125111	so cute:)
10151325099522592_9158612	Lol
10151325099522592_9175161	Lmfao Letty Resendiz
10151325099522592_9180426	Lol
10151325099522592_9182222	Gloria Itzel let go babe
10151325099522592_9182254	Mito Rosales
10151325099522592_9182280	Gloria Itzel its ill give some pills to sleep lmaoo
10151325099522592_9184406	Lol
10151325099522592_9187712	Sarina Princess Garza
10151325099522592_9189290	I'm gonna die
10151325099522592_9192975	Lol
10151325099522592_9192981	Lol
10151325099522592_9193970	Lol
10151325099522592_9194410	Yvonne Villagomez Edith Gonzzalez banana!
10151325099522592_9194549	Monica Flores
10151325099522592_9202465	Pelle Melio
10151325099522592_9203877	Lol
10151325099522592_9208593	mi villano favoriyto
10151325099522592_9210998	Lol
10151325099522592_9211303	My favorite movie!
10151325099522592_9220044	Gloria Gonzalez lol
10151325099522592_9231839	Lol
10151325099522592_9234664	Isabella Jimenez get excited
10151325099522592_9241320	YASSSSSSSSSSS ♥ lolllll.
10151325099522592_9242136	lololololol
10151325099522592_9244944	Jaime Guccione
10151325099522592_9249842	nice ;0
10151325099522592_9254353	Lol
10151325099522592_9346755	Lol
10151325099522592_9374866	Lol
10151325099522592_9965717	I WONDER
10151318828872592_9080868	so Fantastic ^_^
10151318828872592_9081001	My Favorite movie!!
10151318828872592_9082167	My all time favorite movie! !!!!!!!!!!!
10151318828872592_9084846	favorite movie
10151315760852592_9062882	Codi Lovitt
10151315760852592_9063309	Light bulbbbbbbbbbbbbbbb
10151315760852592_9063348	Tricia Lehner
10151315760852592_9064312	Claudia Liner
10151315760852592_9066610	My favorite movie
10151309955157592_9033665	Michael Damiano IV
10151309955157592_9035426	So cute :)
10151309955157592_9041134	cute pic
10151309955157592_9160358	Fantastic!
10151307513457592_9022391	lovvvvveeee itttt!!!
10151307513457592_9022405	Lol
10151307513457592_9022478	Tori Coe
10151307513457592_9022530	I LOVE
10151307513457592_9022557	Bella Bella Banana ! lol !
10151307513457592_9022640	i love minime as a female me
10151307513457592_9022718	crazt
10151307513457592_9022721	i mean crazy
10151307513457592_9022790	Mario Cardiel Diaz
10151307513457592_9022950	Jessica Ann Orr Brett O'neal
10151307513457592_9023084	Catarina Rispoli
10151307513457592_9023232	i <3 minions
10151307513457592_9023244	Mi escena favorita
10151307513457592_9024482	My favorite part
10151307513457592_9024924	nice
10151307513457592_9027681	bellllllllllllllllla belllllllllllla banana XD
10151307513457592_9028426	♥ ♥ so cute
10151307513457592_9029864	I LOVE MINION
10151307513457592_9029978	Lol
10151307513457592_9052004	Lol
10151307513457592_9682577	ella ella bananana
10151292529897592_8969462	"I'm gonna die!!!"
10151292529897592_8969483	its so fluffy im gonna die
10151292529897592_8969497	a favorite movie!!!!! Love Agness  <3
10151292529897592_8969506	unicornnnnn ,...........
10151292529897592_8969509	cUtiEE
10151292529897592_8969522	it's so fluffy i'm gonna die!
10151292529897592_8969530	cutei pie
10151292529897592_8969595	soo cute!! <3
10151292529897592_8969686	I love dis movie
10151292529897592_8970037	I'm gonna die
10151292529897592_8970318	My favorite movie! !!!!
10151292529897592_8970516	agnessss gano su unicornio :)
10151292529897592_8970556	it's so fluffy and i'm gonna die...
10151292529897592_8970564	I LOVE AGNES..!!
10151292529897592_8970803	 IsabellaEstrella
10151292529897592_8971319	Shannon Shannon Amarelloell
10151292529897592_8971341	I love agnes
10151292529897592_8971887	trop cute !!!!
10151292529897592_8972032	so cute!
10151292529897592_8972140	Hera Riaz
10151292529897592_8972503	unicorn unicorn....
10151292529897592_8972704	omg so cute!
10151292529897592_8973728	"Its so fluffy am gonna die!!!!!! " <3...so cute!!!!
10151292529897592_8973823	fam-favorite
10151292529897592_8975974	unicorn i love it!!!
10151292529897592_8977253	pretty plezzz,,,
10151292529897592_8988041	te amo agnes
10151292529897592_9036234	cuuuutttttyyyy pie
10151292529897592_9086187	so so cute....
10151292529897592_9149494	classic
10151292529897592_9171375	so cutey
10151292529897592_10015703	Ilu
10151285846802592_8933844	nope
10151285846802592_8934078	Grace Haggard
10151285846802592_8934269	nope !!!!
10151285846802592_8934279	mi villano favorito 2
10151285846802592_8934954	no I can't
10151285846802592_8940438	Lol
10151285846802592_8946584	nope
10151283091422592_8917898	I LOVE.
10151283091422592_8918076	I love minions!!!
10151283091422592_8918542	Luiz
10151283091422592_8918938	Clau L. Precero.. (:
10151283091422592_8920046	Suppa duippah....-/:;>~#£€¥....llllOVE. Love.
10151283091422592_8923213	Maria Maria Vittoria Bittencourt Nunes e Francisco Bittencourt Nunes!
10151283091422592_8924108	so cute
10151281382522592_8907142	My favorite movie!!!
10151281382522592_8907181	ce tare e filmu asta......
10151281382522592_8907241	Madi Williamson
10151281382522592_8907472	nice
10151281382522592_8908024	Lol
10151281382522592_8908205	So cute!
10151281382522592_8909402	Lol
10151281382522592_8910439	soo cute..
10151281382522592_8911205	Lol
10151281382522592_8911756	still pretty impressive. . .
10151281382522592_8958743	Lololol!
10151281382522592_8959961	Lolllll,,,,
10151281382522592_9938868	lame villian! lol gru
10151270760792592_8854486	Renata Evora <3 <3 <3
10151270760792592_8854500	Dispicable..me lol
10151270760792592_8854517	I <3 u
10151270760792592_8854541	same to u
10151270760792592_8854567	nice :)
10151270760792592_8854630	Sierra Cheyenne Campbell
10151270760792592_8854817	super
10151270760792592_8854989	lindo
10151270760792592_8855253	Vanessa Luna
10151270760792592_8856454	Sarah Collette
10151270760792592_8856572	Giovanna Palladini
10151270760792592_8856984	Olivia Xun Xiang
10151270760792592_8881615	i  love minions
10151270760792592_8916120	Raffaella Bacci
10151270760792592_9016948	i love minion!!!
10151270760792592_9037564	i love minion
10151267206667592_8837714	Lol
10151267206667592_8838163	Lori Morgan
10151267206667592_8838286	il va i avoir une suite ????
10151267206667592_8839200	Lol
10151267206667592_8841104	Petrina Martin
10151267206667592_8853094	I AGREE!!!
10151267206667592_8958747	Lol
10151267206667592_9123537	Lol
10151267206667592_9433607	for eva alone
10151265607997592_25045342	so cute :)
10151265607997592_25045376	Corri Archuletta
10151265607997592_25045482	So cute!
10151265607997592_25045488	so darn cute!
10151265607997592_25045583	Alexandra Michelle Rodriguez Jessica Doty
10151265607997592_25045844	Cassie Liu
10151265607997592_25045868	unicorn = mopoi !!! no no mooooopoi mooopoi !!!! LW37
10151265607997592_25046100	fv crtoon
10151265607997592_25046101	Beatriz Lopes
10151265607997592_25049603	I love minions! <3
10151265607997592_25051703	Cuteeeee i love ittttt
10151265607997592_25053471	i love all minnions!!
10151265607997592_25054383	<3..too..so cute...
10151265607997592_25416335	so cute!
10151259154712592_8802320	so cute !!
10151259154712592_8802466	Giuliana Lazzaro morri! Ela ta levando bronca!!!!
10151259154712592_8802507	i love unicorn i love unicorn
10151259154712592_8802662	So cute <3 <3
10151259154712592_8802695	Lol
10151259154712592_8802748	Lol
10151259154712592_8802897	Lol
10151259154712592_8803041	Lol
10151259154712592_8803147	super coolllllllllllllllllll fespicable me
10151259154712592_8803591	Classic
10151259154712592_8803959	so true
10151259154712592_8804422	Lol
10151259154712592_8805181	so cute!
10151259154712592_8805545	My favorite movie
10151259154712592_8807292	awesome movie..i adore Gru!!!..lol
10151259154712592_8807479	soo cute :)
10151259154712592_8807655	ang cute ni agnes it's so fluffy i'm gonna die
10151259154712592_8809155	I LOVE IT
10151259154712592_8809998	ce scumpe is alea mici;))))
10151259154712592_8813085	Que simpatico me encanta, Gru.
10151259154712592_8824934	so cute lol
10151253604482592_8779179	Lol
10151253604482592_8779226	Lol
10151253604482592_8779249	so cute
10151253604482592_8779348	LOL I LOVE IT!!!
10151253604482592_8779562	Dispicable me 2
10151253604482592_8779711	disappointed
10151253604482592_8779756	Arnolder Titato El-Maestro
10151253604482592_8780312	Xime RG
10151253604482592_8781362	find the illllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllillllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllllclose your eyes and make a wish NAW and the guy or boy that u like he will ask u out tomarrow
10151253604482592_8781523	2 asce???????????
10151253604482592_8783785	go sf
10151252841017592_8775296	so cite
10151252841017592_8775328	i love unicorn i love unicorn
10151252841017592_8775336	Time zone?
10151252841017592_8775371	i love ittt :*
10151252841017592_8775374	i love agnus
10151252841017592_8775416	So cute^~^
10151252841017592_8775513	So cute!
10151252841017592_8775694	Maria Vittoria Bittencourt Nunes!
10151252841017592_8776035	Si y tu? Lizette Rodriguez
10151252841017592_8776635	so cute
10151252841017592_8776840	Diana Gonzalez
10151252841017592_8777154	Giovanna Palladini
10151252841017592_8777452	little girl so cute!!! :3
10151252841017592_8778122	Ela tbm ama dogs!!!! Que nem nós!! Giovanni Saraceni e CarlaeTata Kratza adooooooro
10151252841017592_8866414	chebre!!!
10151252841017592_8959022	hello agnes
10151252841017592_9213633	cute ni agnes
10151251799335163_24184126	MariaJose Arellano
10151251799335163_24184205	Lol
10151251799335163_24184285	Lol
10151251799335163_24184372	Jordan Rossitto ❤
10151251799335163_24184940	Rio Nicole Lau
10151251799335163_24185095	So cute!!!
10151251799335163_24186210	Lol
10151251799335163_24186479	so cute
10151251799335163_24186974	nice
10151251799335163_25053096	so cute
10151249833292592_24941002	i dont even care :\
10151249833292592_24941003	Grace Haggard
10151249833292592_24941026	n9ners
10151249833292592_24941139	Mario Navarrette
10151249833292592_24941269	49ne!!
10151249833292592_24941428	49 ners
10151249833292592_24941912	baltimore
10151249833292592_24941942	49ners
10151249833292592_24941957	49ners
10151249833292592_24942059	Baltimore Ravens!
10151249833292592_24942346	49ers all day 
10151249833292592_24942399	Baltimore Ravens
10151249833292592_24943540	baltimore!
10151249833292592_24943588	Clarissa onti
10151249833292592_24943771	Vanessa Luna
10151249833292592_24944186	Baltimore
10151249833292592_24944323	Lol
10151249833292592_24946144	i love minions.... <3 <3 <3
10151249833292592_24948708	Potato!!
10151218956467592_8710895	I love unicorn... I love unicorn 
10151218956467592_8710942	Omg itz sooo fluffy..m gonna die:-)
10151218956467592_8710988	I LIKE :) :)
10151218956467592_8713516	Lol
10151218956467592_8733750	Cristina ! (Y)
10151217554182592_24851541	Maria Bitter & Jessica Peñalver <3
10151217554182592_24852273	Popoie
10151217554182592_24852279	I love unicorn
10151217554182592_24859902	Go minions
10151217554182592_24860017	Go minions
10151210229107592_8661755	Toronto
10151210229107592_8661917	Colorado Avalanche!!!
10151210229107592_8662351	I LOVE MINION GUYS!!!
10151210229107592_8662754	Im colorblind
10151210229107592_8664222	carolina bule
10151210229107592_8669896	so cute!
10151210229107592_8671034	Q lindo
10151210229107592_8674409	i love minions... :)
10151206995862592_8644380	I'll STUFF YOU ALL IN DE CRUST!
10151206995862592_8644667	I'll stuff you all in di crust!
10151206995862592_8644717	mi villano favorito
10151206995862592_8644758	My favorite pizza! Stuffed crust! <3
10151206995862592_8644785	i <3 it
10151206995862592_8645036	I stuff u all in de crust !!
10151206995862592_8645115	bonita movie
10151206995862592_8645557	it's so fluffy, i'm gonna die!
10151206995862592_8645950	<3 cartoon
10151206995862592_8646994	fantastic movie:):):):):):)
10151206995862592_8652385	I love pizza.
10151206995862592_8657994	amazing movie :)
10151196352667592_8584503	I did not do it
10151196352667592_8584560	Lol
10151196352667592_8584900	Lol
10151196352667592_8585489	my favorite line
10151196352667592_8585830	Lol
10151196352667592_8586456	Lol
10151196352667592_8603030	Yo no fui, pero ella creo si.
10151196352667592_8686522	Giuliana Lazzaro achei uma pagina Despicable Me!!!
10151192699557592_8561504	Lol
10151192699557592_8561709	so cute
10151192699557592_9191648	Lol
10151167477412592_8509483	i love ittttttttttt
10151167477412592_8514606	nice
10151167531672592_8501598	Prince S Belle
10151167531672592_8501840	Lucia Gabriele buon anno!
10151167531672592_8501896	i love dispicable me
10151167531672592_8502165	ditto Jamie
10151167531672592_8502413	Rio Nicole Lau
10151167531672592_8504406	so. cute.
10151167531672592_8504465	nice
10151167531672592_8504524	so cute!
10151167531672592_8504677	so cute!!!
10151167531672592_8504680	I love minions
10151167531672592_8505040	same to u
10151167531672592_8505621	Lol
10151167531672592_8506650	Jubi Grigoletti <3
10151167531672592_8508491	Auguri a te Alessio!Lucy :) Inviato da iPhone
10151167531672592_8510945	i love minions!!!!;)
10151167531672592_8512255	Fyi Andrea Diaz LY
10151167531672592_8532704	so cute!!!!!!!!!!!!!!!!!!
10151167531672592_8545867	so cool
10151167531672592_8551234	Lol
10151167531672592_9246852	Lol
10151167467467592_8452147	Waooooo despicabl me 2,,,,??????? Greatttttttt
10151167467467592_8452986	I`ll do it!!!
10151167467467592_8453538	Natalie Pinto
10151167467467592_8454606	Lol
10151167467467592_8454821	so cute!
10151167467467592_8460616	Lol
10151167466782592_8442212	co cute..lutUnaa..
10151167466782592_8442231	so cute
10151167466782592_8442309	so cute!!
10151167466782592_8442606	Kyra Sutton
10151167466782592_8442668	my favorite movie,  cool.
10151167466782592_8442680	My favorite movie
10151167466782592_8442991	Its so fluffy I'm gonna die!!!!!
10151167466782592_8443004	so cute
10151167466782592_8443024	Brenda Colautti
10151167466782592_8443186	cute picher
10151167466782592_8443195	Ally Fiorenzi
10151167466782592_8443228	Lol
10151167466782592_8443241	Lol
10151167466782592_8443808	So cute!!!
10151167466782592_8443949	"it's so fluffy i'm gonna die"
10151167466782592_8443950	So cute!
10151167466782592_8445329	so cute
10151167466782592_8445452	its so fluffy im gonna die
10151167466782592_8445838	Lol
10151167466782592_8446158	so cute!!!
10151167466782592_8449207	nice
10151167466782592_8449890	so cute :0
10151167466782592_8451329	Lol
10151167466782592_8454278	La   nina  se parese  con  ariana?
10151167466782592_8457336	Lol
10151167466782592_8463523	me gusta esa imagen
10151167466782592_8464191	one of nelz favoritez,...smile,...
10151167466782592_8464490	so cute...
10151167466782592_8473937	so cute!!!!
10151167466782592_8478517	so cute
10151167466782592_8490780	Lol
10151167466782592_8522251	Lol
10151167466782592_8530840	so true
10151167466782592_8595844	Lol
10151167466782592_8711800	so cute^^^^^
10151167465257592_8429936	Lol
10151167465257592_8523708	i have no idea......
10151167258002592_8417571	potato
10151167258002592_8418083	Vittoria
10151167258002592_8418869	Caroline Glen Coco
10151167258002592_8419617	Go minions
10151167258002592_8420295	so cute!! :3
10151167258002592_8423281	so cute. . .XD
10151167258002592_8423587	Giovanna Palladini aww cute
10151167258002592_8539066	nice
10151167258002592_8661495	so cute
10151163194817592_8396519	second
10151163194817592_8396937	minion! lol. cute ^_^
10151163194817592_8397067	so cute,I do like it :X <3 :X
10151163194817592_8397269	Lol
10151163194817592_8397289	My favorite little guys
10151163194817592_8397391	so cuit :)
10151163194817592_8399101	Carolina Candalaft Camila Nasser Evelyn Conrado Tati Scaglioni Galves Luiza Laloni
10151163194817592_8418357	An all time favorite movie.  Excitied to see it.
10151163194817592_9211305	nice.
286674758119378_1271612	"I'll stuff you all in da crust!"
286674758119378_1281451	Lolz I can't STOP LAUGHING!!!
286674758119378_1288134	esta chevere
296638653785632_1316876	Nicole Allain !! :D
296638653785632_1317022	ITS so fluffy im gonna die-AGAIN!!!
296638653785632_1317409	XD I LOVE IT
296638653785632_1317502	So cute :)
296638653785632_1317728	so cool
296638653785632_1318530	Swagnificent
296638653785632_1319397	so cute!!!
296638653785632_1319464	bapoi nnonnno bapoi oh bapoi!
296638653785632_1320215	so impatient i'm gonna dy
296638653785632_1320487	love it gotta see it
296638653785632_1320527	I LOVE IT!!!!!
296638653785632_1320823	chill pilkl
296638653785632_1321012	Lol
296638653785632_1321130	so FUNNY !!!
296638653785632_1321434	i love dispicable me!
296638653785632_1321514	cinnimini???
296638653785632_1321622	so true
296638653785632_1321800	putt putt??
296638653785632_1322365	Gonna be fun !!!
296638653785632_1322431	Gotta see it!!!
296638653785632_1322861	also go minons
296638653785632_1322875	a ufo lol
296638653785632_1324093	Bianca!!! :D
296638653785632_1324537	LOL so funny
296638653785632_1324696	so cute i love it ;)
296638653785632_1325050	I LOVE IT!
296638653785632_1325916	i love despicable me ..
296638653785632_1326193	ya minion are so crazy
296638653785632_1326207	gotta see it
296638653785632_1326848	I LOVE MINIONS!!
296638653785632_1326857	so cute
296638653785632_1327111	soo cute!!!!
296638653785632_1327162	Russell Morrison Michelle Morrison
296638653785632_1328207	it's so fluffy i'm gonna die!
296638653785632_1328778	i love minions
296638653785632_1329935	I love minions!
296638653785632_1332705	so cute!!!
296638653785632_1337430	so cute!!!!!!!!!!! I love it
296638653785632_1337431	amazing trailer
296638653785632_1410672	I LIKE DIS
296638653785632_1427941	nice
296638653785632_1517785	Quero muito ver
296638653785632_1603162	cant waittttttttttttt
240687586060779_954508	Lol
240687586060779_954639	coolll
240687586060779_954897	potato!!!
240687586060779_961191	*face palm*
240687586060779_962015	.l,vlvmbb
10151100099302592_7984826	Maria Clara Quirino
10151100099302592_7984900	Caroline Parenteau
10151100099302592_7985472	He's so fluffy, I am gonna die
10151100099302592_7985604	I can :D
10151100099302592_7986513	Brianna Renae
10151100099302592_7988415	I love minions!!!!!
10151100099302592_7989495	I love minions!!!
10151098592377592_7976810	I MY GOSH <3!
10151098592377592_7976836	gotta go see it!
10151098592377592_7976968	can't waittttttttttpapoi papoi
10151098592377592_7977289	Brianna Renae!!!
10151098592377592_7977322	long time no see!
10151098592377592_7977419	Omg I'm so excited I'm gonna die! ^_^
10151098592377592_7977876	Camilla ;)
10151098592377592_7977929	Giovanna Gesuele Elias
10151098592377592_7977973	Omg, I can't waittttttttttttttt! :))
10151098592377592_7978457	Pedro Saggioro!!!!!!!!!!!!!
10151098592377592_7981473	pappoiee?
393610994031802_82368677	Crazy cool
10150905247092592_7069049	cooooollllll, I love it
10150905247092592_7069068	I so need to go!
10150905247092592_7069147	Anna Gomez Maria Gomez
10150905247092592_7069553	can i go
10150905247092592_7069560	Amazing ride!!
10150905247092592_7069574	Is so FLUFFY going to die... lol
10150905247092592_7069767	I LOVE MINIONS!!
10150905247092592_7069879	Matias Del Valle :D
10150905247092592_7070825	I wanna go,i love minons
10150905247092592_7092047	it's so cute! i love movie :">
10150905247092592_7099750	nice...
10150905247092592_7131561	Lol
10150905247092592_7267305	neat ride
10150905247092592_7302303	so realistic
10150905247092592_7523642	ice
10150905247092592_7566329	so cute
10150905247092592_8563008	Vea Irene Gomez Roman
10150905247092592_8781968	Cata Rubio fuiste?? :D
10150905247092592_8958769	Lol
334877493256804_2184453	i gotta go see!!!
334877493256804_2184476	Omg Someone needs to get me to Orlando, Florida!!!
334877493256804_3294023	Minions guna troll!
400431493306412_5427559	evil little ppl
400431493306412_5427644	Until 2013???? OMG!!!
400431493306412_5443128	I Love it
313610242025083_3819531	a villan
313610242025083_3852884	amazing
313610242025083_3855562	Hi I love Despicablle me!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
313610242025083_3940523	I love Al Pachino
10150213981352592_16888503	nice
10150213981352592_16888531	2nd person to comment
10150213981352592_16888636	More FLUFFINESS to come!!!!
10150213981352592_16888799	crap
10150213981352592_16889551	:) I <3 dispicable me
10150213981352592_16889591	I love da minions......
10150213981352592_16904373	Yippie
10150213981352592_16984730	gotta see it!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
167452283314675_1776364	Favorite animated movie!!! 
167452283314675_1776976	I love dis movie... Gr8..
167452283314675_1780373	i love minions
174233335946531_2162068	My bf n I luv diz scene :-) <3
174233335946531_2162295	It's so FLUFFY!!! I'm gonna die!!!
174233335946531_2785232	hello ppl
174233335946531_2785233	so cool!
119449558124781_496194	No more pie
119449558124781_496217	Dont fall.
119449558124781_496247	i see it
119449558124781_496254	Lol
119449558124781_496271	Lol
119449558124781_527597	no more biting
119449558124781_1076811	to marry pizza
481958737591_3611947	Lol
481958737591_3612114	So cute !!
481958737591_3612178	poppoy
481958737591_3612225	My favorite movie.
481958737591_3612268	Lol
481958737591_3635636	cool movie
182062765146612_2337855	I couldn't recognize Russell's voice.
176253002408694_2205412	russian
176253002408694_2205518	And Ricardo montalban
176253002408694_2205562	Bela Lugosi and Ricardo mantalban 
176253002408694_2205580	Russian accent
176253002408694_2205702	i love despicable me!!!!!!!!!!
176253002408694_2205704	lol gatta love steve
176253002408694_2205776	russian
176253002408694_2205824	russian
176253002408694_2206087	russian
176253002408694_2206257	russian
176253002408694_2206538	russian
478854622591_3575811	<3 it's so fluffy im gonna die!!!!
478854622591_3606657	i love despicable me!
478854622591_3612385	Omg so cute:)
137919692932121_1087075	russell bbbbbbbrand!
137919692932121_1087172	To comment
137919692932121_1087198	50 person to comment 115 peron to like
137919692932121_1087200	Noah dazzle dugg u peeps r craz
137919692932121_1087791	Russell brad
132985690094390_918482	Ill stuff u all on ze crust
164925490217165_1901542	All 3!
164925490217165_1902131	Banana is my favorite mini movie clip
164925490217165_1902149	orentation day
164925490217165_1905565	Lol...all!
117377768332187_445093	i love minions!!!!!<3 <3 <3
180106705340925_2252301	Fantastic!
180106705340925_2252535	Progression
153144074733425_1568907	so cool
170179046355188_2065482	i love u dispicable mee<33
135916039800386_1030390	Its so fluffy im gonna die!!!!!!
135916039800386_1030725	A definite feel-good movie..
135916039800386_1030989	go gru go, Minnion mania rules.
135916039800386_1031108	Its so fluffy I'm gonna die!
152166324830697_1533772	iconic
152166324830697_1534238	I love minions
173765905987276_2111387	Dispica....dispica....
173765905987276_2111408	I'm gunna go buy 18 copies so I have them until I die! (:
135336049857516_1009535	Bella! Bella Banana!
135336049857516_1016360	I got mine!
172439776121234_2123386	i love minions!!
172439776121234_2302056	my favorite scene
180160988676210_2251728	HHHHHHHHHH BANANAAA  .. so cute vidio
109464775793330_209158	so cute.
109464775793330_211079	Awesome video!! XD
181181288559005_2246748	nice
133007130091026_937573	nope!
133007130091026_939363	lolllll
133007130091026_943801	Ya I guess
115986868466679_430657	cool movie
111103725625299_262532	I dunno but I luv Russell brand
115340485199647_407876	i love dispicable me
164539820250304_1895062	Yaa lieinn'pricck .
168238779875531_1948200	In soviet russia, children adopt gru!
168238779875531_1950157	i didnot no tht
151436671569473_1501381	i did :)
151436671569473_1503631	i did
172627856098421_2041427	coolio
172627856098421_2052566	i did :]
172531012766214_2041884	I love dispicable me!!!!!
